"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"15 JUN2005",1.983,2.148,2.644,3.218,4.630,3.406,3.753,4.578,-0.017,1.166,0.923,3.234,106.950,0.200,0.227,0.352,0.512,8.058,5.317,11.650,5.343,2.525,13.611,25.463,10.968,22.119,6.652,6.869,4.459,4.703,-2.183,-4.621,-0.634,9560.500,15.380,1.206900,-11.394,132.060000,-5.435,0.640,9.640,9.600,76.811
"16 JUN2005",2.008,2.304,2.733,3.293,4.590,3.478,3.888,4.461,-0.035,1.151,0.837,3.328,106.950,0.200,0.232,0.266,0.527,8.758,5.990,11.710,5.669,3.333,14.620,26.441,11.618,24.506,7.077,7.608,4.837,4.137,-2.009,-3.967,-0.630,9631.000,15.730,1.211500,-11.056,132.260000,-5.292,0.640,9.310,9.470,76.817
"17 JUN2005",1.995,2.243,2.703,3.275,4.520,3.447,3.793,4.440,-0.049,1.157,0.815,3.324,105.470,0.177,0.235,0.327,0.555,9.352,6.624,11.760,6.220,3.797,15.444,26.821,12.439,25.617,7.700,8.188,4.869,4.666,-1.895,-3.922,0.220,9634.000,"_",1.217700,-10.601,132.470000,-5.141,0.640,9.080,9.270,76.896
"20 JUN2005",2.027,2.232,2.673,3.287,4.520,3.450,3.819,4.195,-0.019,1.173,0.815,3.307,105.310,0.180,0.203,0.418,0.543,9.105,6.373,11.640,6.476,3.170,15.029,26.425,11.785,26.756,7.146,7.772,3.296,5.342,-1.483,-4.013,-0.047,9606.000,11.160,1.221000,-10.359,133.090000,-4.697,0.640,9.300,9.300,76.937
"21 JUN2005",1.972,2.161,2.636,3.248,4.620,3.437,3.763,3.616,0.020,1.180,0.925,3.228,106.030,0.171,0.208,0.389,0.502,9.130,6.956,11.610,7.249,3.508,15.871,27.683,12.310,27.002,7.738,8.271,3.716,5.226,-1.613,-3.878,-0.000,9663.000,11.100,1.209200,-11.225,132.200000,-5.335,0.460,9.400,9.400,76.796
"22 JUN2005",1.950,2.161,2.550,3.185,4.685,3.310,3.726,3.705,0.036,1.163,0.894,3.149,106.680,0.167,0.200,0.319,0.475,9.301,7.107,11.530,7.502,3.656,15.969,27.844,11.910,25.459,7.822,8.541,3.619,5.436,-1.700,-3.834,0.509,9677.500,11.140,1.211100,-11.086,131.790000,-5.628,0.460,9.440,9.440,76.806
"23 JUN2005",1.943,2.106,2.519,3.139,4.720,3.297,3.662,3.701,-0.017,1.156,0.863,3.157,106.590,0.220,0.207,0.384,0.531,9.742,7.585,11.570,7.867,3.988,16.774,28.577,12.692,25.862,8.117,8.726,3.594,5.792,-1.809,-4.816,0.766,9730.500,11.070,1.206600,-11.416,130.880000,-6.280,0.460,9.600,9.630,76.739
"24 JUN2005",1.950,2.124,2.517,3.118,4.700,3.272,3.647,4.004,-0.008,1.154,0.855,3.126,106.720,0.185,0.210,0.376,0.532,8.889,6.570,11.760,7.213,2.889,15.686,28.494,12.000,23.622,7.108,7.293,2.559,6.106,-3.353,-5.616,0.420,9627.500,11.210,1.208200,-11.299,131.920000,-5.535,0.460,9.500,9.500,76.788
"27 JUN2005","_",2.107,2.503,3.100,4.630,3.283,3.654,4.496,-0.011,1.121,0.829,3.111,106.990,0.187,"_",0.373,0.530,8.260,5.970,11.780,6.760,2.145,14.948,27.371,11.209,23.759,6.142,6.291,1.537,5.371,-4.499,-5.616,-0.648,9576.500,11.430,1.216400,-10.697,132.910000,-4.826,0.460,9.210,9.290,76.892
"28 JUN2005",1.999,2.107,2.503,3.115,4.730,3.303,3.639,4.659,-0.031,1.123,0.831,3.146,106.580,0.160,0.151,0.393,0.545,8.951,6.626,11.830,7.921,2.267,15.798,28.699,12.237,27.316,7.141,7.081,2.524,4.635,-4.565,-4.852,0.218,9657.500,11.470,1.209500,-11.203,132.940000,-4.805,0.460,9.270,9.270,76.848
"29 JUN2005","_",2.123,2.497,3.159,4.750,3.339,3.699,4.741,-0.014,1.102,0.844,3.173,106.470,0.203,"_",0.397,0.531,9.863,7.581,11.900,9.010,3.442,16.339,29.392,12.409,27.513,7.703,7.696,3.046,5.608,-3.500,-4.898,0.772,9719.500,11.590,1.205400,-11.504,133.030000,-4.740,0.460,9.310,9.310,76.857
"30 JUN2005",2.022,2.118,2.490,3.141,4.800,3.310,3.685,4.764,-0.001,1.085,0.880,3.141,106.860,0.173,0.148,0.372,0.519,10.071,7.735,11.700,9.624,3.640,16.210,29.985,10.255,26.560,7.804,7.758,3.639,5.996,-4.711,-5.446,0.829,9743.500,11.430,1.209200,-11.225,133.950000,-4.082,0.460,9.040,9.160,76.992
"01 JUL2005","_",2.119,2.479,3.122,4.830,3.293,3.665,4.639,-0.010,1.100,0.858,3.132,106.630,"_","_",0.381,0.538,10.606,8.240,11.570,"_","_","_",31.279,13.213,27.651,8.721,8.482,4.231,6.081,-4.711,-5.427,1.231,9807.500,11.660,1.208700,-11.262,134.240000,-3.874,0.460,9.000,9.140,77.061
"04 JUL2005",1.950,2.115,2.561,3.135,4.800,3.346,3.692,4.466,-0.040,1.095,"_",3.175,106.430,"_",0.240,0.445,0.555,10.558,8.085,11.570,"_","_","_",31.316,13.918,27.660,8.958,8.631,4.616,7.072,"_","_",1.417,9798.500,11.700,1.189400,-12.679,132.670000,-4.998,0.460,9.500,9.400,76.871
"05 JUL2005","_",2.207,2.521,3.198,4.890,3.365,3.715,4.529,-0.031,1.086,0.889,3.229,106.110,"_","_",0.413,0.552,10.537,8.002,11.570,"_","_","_",31.357,13.582,29.675,8.697,8.166,4.347,7.556,-4.447,-4.445,1.114,9799.000,11.900,1.188300,-12.760,133.030000,-4.740,0.460,9.500,9.480,76.886
"06 JUL2005","_",2.192,2.600,3.204,4.900,3.369,3.693,4.633,-0.010,1.100,0.916,3.214,106.020,0.200,"_",0.408,0.536,10.744,8.278,11.540,"_","_","_",31.111,13.656,28.299,9.246,8.445,4.904,7.676,-3.813,-4.909,0.999,9821.000,11.920,1.191300,-12.539,133.230000,-4.597,0.460,9.360,9.440,76.918
"07 JUL2005",1.977,2.202,2.651,3.198,4.940,3.371,3.729,4.499,0.051,1.065,0.880,3.147,106.400,0.200,0.213,0.298,0.452,8.770,6.207,12.480,"_","_","_",29.947,11.566,26.186,7.415,6.440,3.222,8.496,-4.751,-4.587,0.882,9627.500,13.760,1.195700,-12.216,133.530000,-4.382,0.460,9.500,9.590,77.026
"08 JUL2005",2.151,2.214,2.610,3.157,4.910,3.344,3.739,4.324,-0.036,1.092,0.933,3.193,106.370,0.160,0.069,0.376,0.543,10.485,7.845,12.870,"_","_","_",31.809,13.084,28.633,9.262,8.033,5.077,7.016,-4.458,-2.876,0.672,9783.000,12.320,1.190400,-12.606,133.840000,-4.160,0.460,9.120,9.240,77.014
"11 JUL2005",2.025,2.197,2.601,3.182,4.940,3.363,"_",4.264,-0.013,1.095,0.947,3.194,106.010,0.180,0.205,0.403,0.528,11.490,8.760,12.900,"_","_","_",33.599,14.171,29.655,10.001,9.570,5.724,8.550,-3.096,-1.839,1.619,9874.000,13.480,1.200600,-11.857,134.400000,-3.759,0.460,8.960,9.060,77.116
"12 JUL2005","_",2.253,2.628,3.206,4.900,3.385,3.706,4.423,-0.022,1.110,0.912,3.227,105.990,0.181,"_",0.377,0.554,11.533,8.728,11.560,"_","_","_",33.427,14.920,28.712,9.660,9.327,5.253,8.238,-2.442,-1.484,1.770,9873.000,13.620,1.216600,-10.682,135.330000,-3.093,0.460,8.950,9.030,77.238
"13 JUL2005","_",2.280,2.659,3.237,4.910,"_","_",4.415,-0.016,1.109,0.956,3.254,105.780,0.158,"_",0.370,0.533,12.220,9.437,11.400,"_","_","_",33.083,15.831,30.500,10.485,9.958,6.150,8.238,-2.496,-1.440,1.489,9940.000,15.160,1.218400,-10.550,135.670000,-2.850,0.460,9.100,9.100,77.267
"14 JUL2005","_",2.260,2.701,3.245,4.960,3.418,3.798,4.367,-0.034,1.111,0.933,3.279,105.590,0.180,"_",0.400,0.555,12.447,9.739,11.400,"_","_","_",32.654,15.702,31.090,11.045,10.413,6.758,8.834,-2.092,-1.040,2.398,9958.000,15.260,1.206700,-11.409,135.240000,-3.158,0.460,8.950,9.150,77.142
"15 JUL2005","_","_",2.720,3.273,4.960,3.443,3.817,4.295,-0.011,1.113,0.926,3.283,105.530,0.161,"_","_",0.527,12.231,9.504,11.380,"_","_","_",32.428,14.864,29.537,11.096,10.733,6.300,9.120,-1.429,-0.858,2.349,9929.000,11.430,1.207300,-11.365,135.350000,-3.079,0.460,8.800,8.910,77.160
"18 JUL2005","_",2.263,2.671,3.244,4.880,"_",3.817,4.219,-0.012,1.083,0.961,3.256,105.780,0.190,"_",0.377,0.526,12.358,9.693,11.370,"_","_","_",32.374,14.038,29.390,11.021,10.890,6.477,8.176,-1.319,-1.405,"_",9981.000,11.230,1.205400,-11.504,135.290000,-3.122,0.460,8.820,8.910,77.186
"19 JUL2005","_",2.293,2.665,3.284,4.860,3.438,3.810,4.063,-0.020,1.078,0.976,3.304,105.510,0.170,"_",0.397,0.546,13.236,10.618,11.370,"_","_","_",32.894,13.389,30.461,12.294,12.088,7.649,7.913,-1.265,-0.104,2.403,10000.500,11.040,1.196500,-12.158,135.070000,-3.280,0.460,9.040,9.050,77.113
"20 JUL2005","_",2.287,2.695,3.276,4.869,3.434,3.826,3.998,-0.016,1.113,0.938,3.292,105.430,0.183,"_",0.383,0.544,12.822,10.200,11.440,"_","_","_",32.540,14.546,30.893,11.949,12.416,7.249,8.197,-0.870,0.604,2.616,10003.500,11.050,1.206300,-11.438,136.350000,-2.363,0.460,8.730,8.810,77.273
"21 JUL2005","_",2.289,2.686,3.258,4.869,3.418,"_",4.037,-0.036,1.117,0.980,3.294,105.480,0.190,"_",0.391,0.562,12.898,10.359,11.400,"_","_","_",32.498,13.247,31.434,11.815,13.482,7.204,8.330,-1.440,0.145,2.594,10016.500,11.750,1.218700,-10.528,135.210000,-3.179,0.240,8.720,8.810,77.339
"22 JUL2005","_",2.277,2.672,3.258,"_",3.443,3.765,3.928,0.003,1.119,1.049,3.255,"_",0.200,"_",0.373,0.512,12.922,10.329,"_","_","_","_",33.103,13.716,31.414,11.578,13.647,7.409,8.749,-1.223,0.198,1.796,"_",11.450,1.214300,-10.851,134.980000,-3.344,"_","_","_",77.300
"25 JUL2005","_",2.259,2.572,3.222,8.510,"_","_",2.782,-0.005,1.114,1.063,3.227,106.160,0.220,"_",0.381,0.528,12.953,10.311,10.180,"_","_","_",32.999,13.668,29.262,11.759,13.783,7.627,9.348,-1.730,-0.400,2.384,10012.000,"_",1.206500,-11.424,134.870000,-3.423,0.460,8.750,8.830,77.234
"26 JUL2005","_",2.261,2.588,3.254,4.920,3.395,3.820,3.532,0.006,1.125,1.041,3.249,105.880,0.200,"_",0.389,0.506,13.193,10.599,11.000,"_","_","_",32.818,14.116,28.250,11.918,13.802,7.627,9.048,-1.885,0.025,2.169,10036.000,11.560,1.198700,-11.996,134.560000,-3.645,0.460,8.790,8.830,77.124
"27 JUL2005","_","_",2.664,3.219,4.920,3.388,3.741,4.083,0.005,1.118,1.053,3.213,106.040,0.182,"_","_",0.521,13.638,11.099,10.930,"_","_","_",32.887,13.617,28.397,12.185,14.080,7.719,9.201,-1.353,0.496,3.014,10086.500,11.230,1.199000,-11.974,134.920000,-3.387,0.460,8.580,8.800,77.153
"28 JUL2005","_",2.282,2.602,3.228,4.910,3.383,"_",4.089,-0.025,1.120,1.046,3.252,105.980,0.177,"_",0.378,0.542,14.070,11.541,10.910,"_","_","_",33.312,13.793,31.129,12.937,14.953,8.053,9.340,-0.718,1.057,3.217,10131.500,11.380,1.210000,-11.167,136.000000,-2.614,0.460,8.570,8.810,77.249
"29 JUL2005","_","_",2.583,3.209,4.880,3.397,3.728,4.279,-0.007,1.118,1.033,3.217,105.920,0.184,"_","_",0.531,13.864,11.395,10.920,"_","_","_",32.872,11.987,32.623,12.716,14.812,7.793,9.589,-1.318,0.432,3.576,10091.000,11.650,1.209300,-11.218,135.910000,-2.678,0.460,8.510,8.670,77.219
"01 AGO2005","_","_",2.730,3.276,4.890,3.445,3.795,5.063,-0.013,1.124,1.059,3.288,105.440,0.188,"_","_",0.534,13.425,10.881,10.950,"_","_","_",33.030,12.284,34.087,12.510,14.914,7.527,9.765,-1.483,0.917,3.988,10073.500,11.370,1.221900,-10.293,136.670000,-2.134,0.460,8.760,8.720,77.333
"02 AGO2005","_",2.527,2.746,3.286,4.790,3.462,3.791,4.475,-0.047,1.098,1.060,3.333,105.240,"_","_",0.193,0.544,13.854,11.377,10.960,"_","_","_",33.005,12.912,36.622,13.509,15.902,8.504,10.527,-0.921,1.963,3.929,10124.000,12.030,1.221700,-10.308,136.070000,-2.564,0.460,8.730,8.670,77.283
"03 AGO2005","_",2.527,2.759,3.217,4.780,3.484,"_",4.550,-0.122,1.089,1.033,3.339,105.350,0.210,"_",0.203,0.643,14.210,11.771,10.930,"_","_","_",33.204,13.643,37.516,13.296,15.673,8.398,10.626,-0.792,1.902,4.291,10159.500,11.930,1.230800,-9.640,136.810000,-2.034,0.460,8.840,8.740,77.381
"04 AGO2005",2.125,2.528,2.770,3.310,4.710,3.478,3.803,4.295,-0.029,1.105,1.009,3.339,105.310,0.160,0.195,0.222,0.560,13.462,10.941,10.890,"_","_","_",33.380,13.522,36.170,12.177,14.520,7.201,10.278,-1.604,0.730,3.434,10083.500,12.250,1.231900,-9.559,137.330000,-1.661,0.460,8.550,8.770,77.428
"05 AGO2005",2.174,2.536,2.797,3.317,4.712,3.466,3.816,4.208,-0.035,1.088,1.008,3.352,104.870,0.165,0.166,0.214,0.543,13.159,10.622,10.930,"_","_","_",33.431,12.598,35.678,11.156,13.418,6.682,10.261,-1.604,0.114,2.417,10046.500,12.330,1.238600,-9.067,138.130000,-1.088,0.460,8.360,8.570,77.514
"08 AGO2005","_",2.574,2.818,3.348,4.707,"_",3.847,4.080,-0.024,1.076,1.092,3.373,104.960,"_","_",0.196,0.542,13.913,11.394,10.870,"_","_","_",33.836,13.565,37.202,11.560,13.669,7.425,10.875,-2.282,-0.508,2.526,10126.500,12.660,1.237000,-9.184,138.130000,-1.088,0.150,8.430,8.580,77.459
"09 AGO2005","_",2.577,2.826,3.352,4.695,3.494,"_",4.096,-0.022,1.076,1.095,3.374,104.950,0.198,"_",0.213,0.538,14.239,11.726,10.880,"_","_","_",34.287,13.441,38.577,12.878,15.352,8.101,11.278,-1.552,-0.057,3.582,10157.500,12.840,1.236700,-9.206,138.640000,-0.723,0.150,8.410,8.630,77.486
"10 AGO2005","_",2.568,2.823,3.327,4.729,3.484,3.807,4.035,-0.009,1.100,1.080,3.335,105.140,0.188,"_",0.202,0.533,15.081,12.646,10.990,"_","_","_",34.925,13.363,42.213,14.218,17.257,8.962,11.564,-1.749,-0.810,5.304,10232.500,12.830,1.237700,-9.133,137.400000,-1.611,0.140,8.280,8.550,77.432
"11 AGO2005","_",2.573,2.819,3.334,4.739,3.482,3.830,3.934,-0.027,1.102,1.096,3.361,105.160,"_","_",0.187,0.546,14.901,12.568,10.990,"_","_","_",34.188,13.496,41.122,13.653,16.397,8.648,11.172,-0.901,-0.041,6.742,10230.500,12.970,1.240500,-8.927,136.940000,-1.941,0.140,8.250,8.580,77.401
"12 AGO2005","_",2.531,2.758,3.282,4.808,3.436,3.779,3.897,-0.031,1.099,1.030,3.313,105.550,"_","_",0.189,0.548,14.529,12.184,10.454,"_","_","_",33.714,13.729,35.266,12.975,16.007,8.203,10.906,-1.694,-0.852,6.728,10193.000,13.050,1.245700,-8.546,136.320000,-2.385,0.130,8.160,8.530,77.392
"15 AGO2005","_","_",2.715,3.297,4.774,3.417,3.841,4.004,0.022,1.097,1.018,3.275,105.760,"_","_","_",0.513,14.567,12.159,10.440,"_","_","_",34.212,14.189,39.442,12.710,15.654,"_",10.873,-1.378,-0.386,6.683,10181.500,14.230,1.237400,-9.155,135.540000,-2.943,0.140,8.310,8.550,77.286
"16 AGO2005","_",2.480,2.722,3.248,4.817,3.397,3.753,4.024,-0.043,1.104,1.038,3.291,106.110,0.170,"_",0.210,0.562,14.117,11.662,10.470,"_","_","_",33.766,13.759,39.845,12.069,14.749,7.623,10.419,-2.500,-1.764,7.198,10142.500,14.160,1.231300,-9.603,134.630000,-3.595,0.160,8.330,8.600,77.206
"17 AGO2005",2.075,2.435,2.678,3.222,4.798,3.383,3.731,4.191,-0.016,1.125,1.025,3.238,106.090,"_",0.215,0.205,0.538,13.548,11.159,10.560,"_","_","_",32.881,13.045,39.196,11.756,14.459,7.233,9.805,-2.154,-1.392,6.827,10102.500,14.230,1.229600,-9.728,134.850000,-3.437,0.150,8.350,8.650,77.175
"18 AGO2005",2.079,2.418,2.651,3.191,4.825,3.358,3.716,4.251,-0.020,1.106,1.079,3.211,106.410,0.165,0.201,0.192,0.539,12.988,10.540,10.640,"_","_","_",32.313,12.890,39.226,11.270,13.984,6.435,9.319,-2.115,-1.809,7.125,10045.500,10.420,1.221300,-10.337,134.820000,-3.459,0.220,8.320,8.700,77.110
"19 AGO2005",2.079,2.412,2.635,3.173,4.820,3.323,3.742,4.399,-0.017,1.105,1.071,3.190,106.370,0.175,0.201,0.198,0.537,13.941,11.586,10.800,"_","_","_",32.441,13.630,35.531,12.772,15.832,7.985,10.218,-2.075,-1.833,6.989,10158.000,13.670,1.218300,-10.557,134.510000,-3.681,0.240,8.420,8.730,77.102
"22 AGO2005",2.085,2.438,2.649,3.177,4.820,3.357,3.731,4.574,-0.022,1.103,1.075,3.199,106.450,0.170,0.205,0.192,0.533,14.368,12.047,10.710,"_","_","_",32.781,13.948,39.412,12.849,16.109,7.966,10.338,-1.976,-1.564,8.389,10181.500,13.490,1.223100,-10.205,133.930000,-4.096,0.250,8.500,8.750,77.114
"23 AGO2005",2.087,"_",2.650,3.167,4.820,3.331,3.667,4.751,-0.040,1.123,1.069,3.207,106.650,0.160,0.213,"_",0.563,13.657,11.269,10.820,"_","_","_",31.998,14.055,38.430,11.793,15.546,7.056,9.960,-2.443,-1.756,8.566,10119.500,13.580,1.223300,-10.190,134.610000,-3.609,0.250,8.480,8.730,77.156
"24 AGO2005","_",2.425,2.643,3.148,4.810,"_",3.685,5.228,-0.019,1.109,1.054,3.166,106.680,"_","_",0.225,0.542,13.390,10.991,10.810,"_","_","_",31.635,13.845,36.838,11.623,15.504,7.780,9.442,-3.229,-2.139,8.822,10099.000,13.680,1.221100,-10.352,134.770000,-3.494,0.250,8.390,8.710,77.140
"25 AGO2005",2.085,"_",2.620,3.137,4.690,3.293,3.646,5.222,-0.019,1.120,1.073,3.156,106.870,"_",0.215,"_",0.533,12.389,9.937,11.030,"_","_","_",31.014,12.069,36.985,10.412,14.096,7.015,9.037,-3.082,-1.888,7.976,9995.000,14.020,1.227200,-9.904,135.020000,-3.315,0.240,8.300,8.720,77.191
"26 AGO2005","_",2.407,2.608,3.126,4.645,3.276,3.664,4.907,-0.027,1.106,1.061,3.153,106.820,0.180,"_",0.243,0.554,11.586,9.074,10.820,"_","_","_",30.448,11.007,36.867,9.246,12.399,5.983,8.465,-3.577,-2.513,8.275,9892.500,14.280,1.230700,-9.647,134.930000,-3.380,0.220,8.250,8.670,77.210
"29 AGO2005",2.093,2.412,"_",3.135,4.630,3.278,"_",4.974,-0.011,1.124,1.059,3.146,106.870,"_",0.207,0.228,0.535,11.840,9.445,10.820,"_","_","_",30.173,10.912,37.683,9.783,13.067,6.403,"_",-2.967,-1.737,7.147,9937.000,14.490,1.228900,-9.779,135.730000,-2.807,0.000,0.000,0.000,77.212
"30 AGO2005","_",2.447,2.667,3.145,4.620,"_",3.899,5.148,-0.027,1.087,1.054,3.172,106.890,"_","_",0.223,0.555,11.764,9.267,10.770,"_","_","_",31.142,11.888,40.100,9.584,12.585,6.179,9.039,-3.433,-2.100,8.394,9939.000,14.630,1.218100,-10.572,135.810000,-2.750,0.250,8.700,8.910,77.176
"31 AGO2005","_",2.407,2.612,3.104,4.670,3.256,3.633,5.220,-0.030,1.095,1.006,3.134,107.250,0.175,"_",0.223,0.556,12.662,10.220,10.900,"_","_","_",31.366,13.243,41.378,10.590,13.477,7.373,9.892,-2.795,-1.073,8.050,10030.500,14.460,1.219800,-10.447,136.060000,-2.571,0.250,8.680,8.940,77.185
"01 SEP2005",2.076,2.363,"_",3.072,4.610,3.243,3.601,5.213,-0.023,1.101,0.991,3.095,107.620,0.160,0.214,0.237,0.548,14.070,11.599,11.080,"_","_","_",33.037,14.343,41.073,11.217,13.789,7.937,10.547,-2.999,-1.266,8.863,10147.500,14.010,1.238800,-9.052,136.950000,-1.933,0.180,8.760,9.160,77.322
"02 SEP2005","_",2.292,2.606,3.055,4.570,3.189,3.592,5.155,0.003,1.135,1.011,3.052,107.610,"_","_",0.238,0.525,14.261,11.719,10.980,"_","_","_",32.378,13.858,41.122,10.951,13.668,7.908,10.512,-3.113,-1.580,9.672,10151.500,14.140,1.254100,-7.929,137.660000,-1.425,0.100,8.950,9.300,77.403
"05 SEP2005",2.030,"_",2.511,3.029,4.570,3.182,3.615,5.292,-0.022,1.137,"_",3.051,107.710,"_",0.220,"_",0.541,15.399,12.885,11.050,"_","_","_",32.803,14.348,43.864,11.921,15.362,8.360,10.740,-3.113,-1.580,9.976,10302.000,14.430,1.253800,-7.951,136.690000,-2.120,0.140,9.120,9.320,77.340
"06 SEP2005",2.055,2.337,2.549,3.053,4.590,3.205,3.579,5.496,-0.037,1.153,1.019,3.090,107.500,0.192,0.205,0.233,0.557,16.743,14.232,11.260,"_","_","_",34.791,15.195,45.180,13.234,16.734,8.975,11.184,-1.797,-0.394,9.667,10375.500,14.790,1.248300,-8.355,136.750000,-2.077,0.090,9.120,9.210,77.292
"07 SEP2005","_",2.331,2.544,3.055,4.580,3.203,3.597,5.799,-0.019,1.159,1.071,3.074,107.300,"_","_",0.229,0.535,17.216,14.615,11.270,"_","_","_",35.897,17.065,46.232,13.493,17.200,9.286,11.323,-1.387,-0.157,9.738,10415.500,14.890,1.245100,-8.590,136.970000,-1.919,0.080,9.070,9.180,77.282
"08 SEP2005","_",2.335,2.543,3.050,4.590,3.204,3.606,5.865,-0.019,1.174,1.083,3.069,107.580,0.175,"_",0.235,0.570,17.497,14.981,11.270,"_","_","_",35.624,18.269,47.204,13.397,17.309,9.532,10.803,-1.735,-0.433,9.097,10465.500,14.230,1.241800,-8.832,137.160000,-1.783,0.080,8.570,9.020,77.248
"09 SEP2005","_",2.336,2.531,3.038,4.050,3.207,3.593,5.787,-0.012,1.156,1.106,3.050,107.770,"_","_",0.234,0.552,17.967,15.481,11.180,"_","_","_",36.320,18.075,48.511,13.839,17.618,9.747,11.186,-0.969,0.003,10.474,10482.500,14.280,1.241500,-8.854,136.630000,-2.163,0.070,8.490,8.990,77.221
"12 SEP2005","_",2.353,2.551,3.067,4.160,3.232,3.622,5.760,-0.006,1.164,1.116,3.073,107.120,"_","_",0.247,0.523,18.049,15.570,11.110,"_","_","_",35.827,18.716,51.449,13.669,17.244,10.026,11.514,-0.928,0.340,12.253,10494.000,15.340,1.231300,-9.603,135.200000,-3.187,0.060,8.790,9.000,77.107
"13 SEP2005","_",2.404,2.578,3.106,4.190,3.273,3.618,5.719,-0.008,1.138,1.076,3.113,107.390,0.170,"_",0.226,0.544,17.298,14.856,11.190,"_","_","_",34.625,17.822,49.592,12.683,15.174,9.388,10.745,-1.721,-0.170,12.301,10431.500,15.860,1.227600,-9.874,136.170000,-2.492,-0.050,8.810,9.030,77.115
"14 SEP2005","_",2.380,2.568,3.063,4.190,3.213,3.599,5.607,-0.012,1.143,1.085,3.074,107.440,0.182,"_",0.220,0.527,17.576,15.178,11.180,"_","_","_",35.253,17.740,49.268,13.139,15.392,10.144,10.940,-2.208,-1.200,11.711,10467.500,16.440,1.231400,-9.595,135.420000,-3.029,-0.060,8.800,8.990,77.110
"15 SEP2005","_",2.391,2.592,3.119,4.020,"_","_",5.599,0.023,1.130,1.103,3.096,107.300,0.225,"_",0.229,0.491,17.881,15.361,11.130,"_","_","_",36.713,18.729,52.845,13.140,15.270,10.067,11.689,-2.080,-1.346,13.039,10469.000,16.580,1.222300,-10.264,134.890000,-3.409,-0.140,8.810,9.080,77.074
"16 SEP2005","_",2.404,2.613,3.124,3.780,"_",3.646,5.509,0.001,1.144,1.159,3.123,107.040,"_","_",0.246,0.516,18.509,15.982,11.180,"_","_","_",37.987,18.630,54.780,14.073,17.162,10.929,12.195,-1.308,-0.694,12.794,10536.500,12.020,1.224300,-10.117,135.780000,-2.771,-0.150,8.730,9.100,77.115
"19 SEP2005","_",2.429,2.608,3.124,3.790,"_",3.672,5.555,0.006,1.165,1.183,3.117,106.950,0.180,"_",0.221,0.516,18.632,16.025,11.150,"_","_","_",38.869,19.899,57.453,13.724,15.743,10.951,12.647,-2.090,-1.387,"_",10537.000,12.730,1.213900,-10.880,135.310000,-3.108,-0.230,9.080,9.130,76.994
"20 SEP2005","_",2.391,2.586,3.121,3.760,3.210,3.622,5.587,0.042,1.183,1.225,3.079,106.950,0.180,"_",0.229,0.479,19.168,16.547,10.880,"_","_","_",39.792,20.655,58.446,14.385,16.606,11.067,12.371,-2.796,-2.028,14.447,10580.500,12.660,1.215400,-10.770,135.430000,-3.022,-0.240,8.940,9.070,77.005
"21 SEP2005","_",2.385,2.557,3.054,3.900,3.170,3.538,5.492,0.011,1.187,1.204,3.042,107.410,0.180,"_",0.225,0.526,18.344,15.632,11.050,"_","_","_",38.382,19.868,61.138,12.725,14.547,10.695,11.402,-3.756,-3.163,14.865,10510.500,12.880,1.222500,-10.249,135.950000,-2.649,-0.160,8.680,8.890,77.082
"22 SEP2005","_",2.350,2.527,3.028,3.800,3.130,3.544,5.471,-0.003,1.191,1.197,3.031,107.400,0.181,"_",0.210,0.492,18.738,16.032,"_","_","_","_",38.223,20.157,62.101,12.233,13.931,10.054,11.734,-3.347,-2.972,14.541,10548.000,12.920,1.222400,-10.256,135.890000,-2.692,-0.180,8.670,9.000,77.127
"23 SEP2005","_",2.376,2.554,3.054,3.870,3.171,3.554,5.670,0.000,1.192,1.201,3.054,107.150,0.167,"_",0.234,0.516,19.603,17.073,"_","_","_","_",37.819,20.221,63.978,12.886,14.720,10.227,12.313,-3.370,-2.694,"_",10622.500,12.920,1.211800,-11.034,135.070000,-3.280,-0.300,8.880,9.170,77.048
"26 SEP2005","_",2.455,2.626,3.119,3.830,3.232,3.598,5.910,0.005,1.200,1.229,3.114,106.580,0.185,"_",0.225,0.501,20.625,18.105,11.040,"_","_","_",38.544,21.799,65.353,15.237,17.436,11.537,13.133,-3.147,-2.481,16.572,10718.500,13.130,1.203100,-11.673,135.210000,-3.179,-0.330,8.990,9.150,77.006
"27 SEP2005","_",2.470,2.654,3.144,3.800,3.259,3.641,6.071,0.022,1.202,1.237,3.122,106.580,0.170,"_",0.220,0.496,20.214,17.594,11.090,"_","_","_",38.994,21.537,65.275,14.672,16.677,11.416,13.012,-3.031,-2.713,15.853,10687.500,12.860,1.200500,-11.864,136.010000,-2.607,-0.350,9.090,9.060,77.028
