"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"06 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.124,-0.073,-0.002,0.096,100.075
"09 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.145,-0.125,-0.073,0.001,0.101,100.080
"10 NOV2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.139,-0.129,-0.077,-0.004,0.091,100.085
"11 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.131,-0.132,-0.079,-0.006,0.089,100.085
"12 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.136,-0.081,-0.011,0.084,100.080
"13 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.132,-0.137,-0.083,-0.011,0.082,100.090
"16 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.139,-0.086,-0.013,0.077,100.090
"17 NOV2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.131,-0.144,-0.091,-0.015,0.076,100.155
"18 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.129,-0.146,-0.092,-0.015,0.076,100.150
"19 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.137,-0.149,-0.092,-0.019,0.074,100.155
"20 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.133,-0.151,-0.095,-0.024,0.068,100.170
"23 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.155,-0.099,-0.030,0.062,100.180
"24 NOV2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.139,-0.157,-0.104,-0.033,0.058,100.165
"25 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.134,-0.156,-0.104,-0.031,0.060,100.185
"26 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.139,-0.161,-0.109,-0.039,0.053,100.190
"27 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.160,-0.113,-0.040,0.048,100.185
"30 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.127,-0.161,-0.114,-0.043,0.048,100.175
"01 DIC2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.131,-0.161,-0.116,-0.045,0.045,100.190
"02 DIC2015","_","_","_","_",0.300,-0.200,"_",-0.132,-0.164,-0.118,-0.048,0.043,100.190
"03 DIC2015","_","_","_","_",0.300,-0.200,"_",-0.136,-0.171,-0.124,-0.051,0.039,100.105
"04 DIC2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.171,-0.113,-0.030,0.068,100.110
"07 DIC2015","_","_","_","_",0.300,-0.200,"_",-0.142,-0.175,-0.113,-0.031,0.066,100.120
"08 DIC2015","_","_","_","_",0.300,-0.200,"_",-0.147,-0.178,-0.116,-0.033,0.067,100.125
"09 DIC2015",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.235,-0.181,-0.119,-0.034,0.066,100.125
"10 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.232,-0.186,-0.125,-0.036,0.064,100.120
"11 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.231,-0.189,-0.128,-0.038,0.063,100.125
"14 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.230,-0.191,-0.129,-0.039,0.060,100.130
"15 DIC2015",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.239,-0.194,-0.132,-0.041,0.060,100.135
"16 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.241,-0.196,-0.133,-0.041,0.059,100.135
"17 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.238,-0.198,-0.133,-0.041,0.059,100.135
"18 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.237,-0.199,-0.131,-0.041,0.058,100.140
"21 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.231,-0.200,-0.130,-0.041,0.061,100.135
"22 DIC2015",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.231,-0.201,-0.131,-0.041,0.060,100.140
"23 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.234,-0.201,-0.131,-0.041,0.061,100.135
"24 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.244,-0.201,-0.131,-0.040,0.060,100.140
"25 DIC2015","_","_","_","_","_","_","_","_","_","_","_","_","_"
"28 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.238,-0.199,-0.131,-0.040,0.060,100.140
"29 DIC2015",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.223,-0.202,-0.132,-0.042,0.058,100.145
"30 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.140,-0.206,-0.132,-0.041,0.059,100.140
"31 DIC2015","_","_","_","_",0.300,-0.300,"_",-0.127,-0.205,-0.131,-0.040,0.060,100.140
"01 ENE2016","_","_","_","_","_","_","_","_","_","_","_","_","_"
"04 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.241,-0.210,-0.132,-0.041,0.058,100.145
"05 ENE2016",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.251,-0.211,-0.133,-0.041,0.059,100.145
"06 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.253,-0.214,-0.136,-0.044,0.056,100.145
"07 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.233,-0.218,-0.142,-0.050,0.051,100.150
"08 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.235,-0.218,-0.143,-0.051,0.051,100.150
"11 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.236,-0.219,-0.143,-0.052,0.050,100.145
"12 ENE2016",0.050,0.000,0.050,0.050,0.300,-0.300,"_",-0.233,-0.220,-0.144,-0.053,0.048,100.150
"13 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.237,-0.220,-0.144,-0.054,0.049,100.145
"14 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.240,-0.221,-0.143,-0.053,0.048,100.145
"15 ENE2016","_","_","_","_",0.300,-0.300,"_",-0.239,-0.221,-0.142,-0.054,0.049,100.145
