Date,Last,Open,Max,Min,Vol_K,Var_%
2016-04-01,475.5,473.75,475.5,467.0,,0.21
2016-03-31,474.5,464.0,475.0,455.88,,2.21
2016-03-30,464.25,476.0,477.5,463.25,,-2.67
2016-03-29,477.0,471.5,477.25,471.0,,1.06
2016-03-28,472.0,465.25,477.25,464.0,,1.83
2016-03-24,463.5,463.13,464.38,458.62,,0.03
2016-03-23,463.38,467.38,467.38,462.62,,-0.86
2016-03-22,467.38,466.25,470.62,463.38,,0.21
2016-03-21,466.38,468.62,472.0,463.88,,0.65
2016-03-18,463.38,463.0,463.88,457.88,,0.22
2016-03-17,462.38,472.13,475.88,460.12,,-1.75
2016-03-16,470.62,476.88,477.12,469.88,,-1.36
2016-03-15,477.12,477.75,479.12,473.12,,-0.31
2016-03-14,478.62,475.63,479.38,472.88,,0.58
2016-03-11,475.88,476.88,478.38,471.62,,-0.1
2016-03-10,476.38,467.88,477.38,465.13,,1.76
2016-03-09,468.12,464.62,468.38,461.12,,0.64
2016-03-08,465.13,461.38,465.62,457.12,,0.43
2016-03-07,463.13,465.0,468.38,461.88,,0.38
2016-03-04,461.38,459.63,464.38,456.12,,0.49
2016-03-03,459.12,449.62,461.88,449.38,,2.0
2016-03-02,450.12,447.0,451.38,442.38,,0.9
2016-03-01,446.12,453.38,454.63,445.62,,-1.49
2016-02-29,452.88,455.12,456.38,450.63,,0.17
2016-02-26,452.12,453.88,456.12,449.13,,-0.22
2016-02-25,453.12,452.25,455.88,449.62,,0.39
2016-02-24,451.38,455.62,456.12,446.62,,-0.99
2016-02-23,455.88,463.5,465.88,455.38,,-1.72
2016-02-22,463.88,466.38,469.38,458.25,,0.43
2016-02-19,461.88,461.88,464.5,460.12,,-0.11
2016-02-18,462.38,468.5,468.5,462.12,,-1.39
2016-02-17,468.88,464.5,470.0,462.75,,0.97
2016-02-16,464.38,460.75,465.0,459.88,,1.53
2016-02-12,457.38,458.88,462.0,455.13,,-0.22
2016-02-11,458.38,460.38,465.75,457.88,,-0.6
2016-02-10,461.13,458.13,462.75,456.63,,0.82
