Date,Last,Open,Max,Min,Vol_M,Var_%
2017-08-04,10658.4,10525.0,10696.1,10516.4,148.69,1.04
2017-08-03,10549.1,10487.2,10553.8,10416.9,133.0,0.33
2017-08-02,10513.9,10592.3,10607.8,10493.1,135.54,-0.69
2017-08-01,10586.7,10613.4,10622.2,10510.9,150.97,0.8
2017-07-31,10502.2,10536.6,10593.9,10495.4,166.1,-0.32
2017-07-28,10536.1,10574.4,10577.3,10497.7,226.26,-0.63
2017-07-27,10603.4,10549.3,10652.9,10544.4,161.51,0.26
2017-07-26,10575.4,10523.8,10584.6,10508.5,152.25,0.49
2017-07-25,10523.4,10451.2,10621.3,10446.2,206.5,0.74
2017-07-24,10446.5,10432.0,10480.2,10368.1,161.23,0.19
2017-07-21,10426.6,10530.7,10562.8,10381.2,207.71,-1.31
2017-07-20,10564.8,10597.4,10627.2,10534.8,244.52,-0.22
2017-07-19,10588.1,10533.9,10588.1,10456.1,275.33,0.6
2017-07-18,10524.5,10616.0,10684.6,10511.5,179.66,-1.19
2017-07-17,10651.2,10665.5,10670.3,10604.2,144.92,-0.04
2017-07-14,10655.1,10664.6,10704.3,10619.3,164.86,-0.03
2017-07-13,10658.3,10594.5,10674.1,10583.1,205.97,0.93
2017-07-12,10560.4,10482.2,10580.5,10470.5,191.89,1.07
2017-07-11,10449.1,10531.5,10536.9,10438.8,156.56,-0.57
2017-07-10,10509.5,10525.4,10535.9,10451.4,152.2,0.2
2017-07-07,10488.8,10495.2,10505.7,10433.5,164.17,-0.09
2017-07-06,10498.4,10546.1,10546.2,10402.0,211.68,-0.24
2017-07-05,10523.6,10535.9,10589.5,10509.5,191.74,-0.41
2017-07-04,10566.7,10543.3,10611.4,10530.3,150.48,-0.35
2017-07-03,10604.2,10507.6,10615.1,10502.2,161.64,1.53
2017-06-30,10444.5,10541.2,10583.7,10433.2,197.99,-0.82
2017-06-29,10531.1,10735.9,10772.0,10514.5,242.89,-1.6
2017-06-28,10702.7,10607.8,10716.7,10526.6,232.69,0.51
2017-06-27,10647.9,10674.0,10726.2,10643.9,180.89,-0.46
2017-06-26,10696.6,10666.1,10757.0,10656.5,123.2,0.62
2017-06-23,10630.8,10685.6,10715.5,10596.3,120.33,-0.74
2017-06-22,10709.9,10709.6,10725.2,10641.9,128.77,-0.29
2017-06-21,10740.7,10721.9,10761.5,10615.9,138.99,-0.05
2017-06-20,10746.1,10892.3,10901.5,10746.1,155.9,-0.95
2017-06-19,10848.9,10839.8,10884.2,10807.6,151.49,0.83
2017-06-16,10759.4,10731.9,10786.3,10702.1,348.07,0.56
2017-06-15,10699.6,10750.8,10751.6,10598.0,225.3,-0.71
2017-06-14,10775.8,10858.5,10934.0,10775.3,189.42,-0.98
