,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dax_last_5_avg,dax_last_3_avg,dax_last_1
2216,2011-01-26,7127.35,7092.89,7160.86,7087.25,109000.51,0.97,dax_index,-0.236,0.167,-0.12
2217,2011-01-25,7059.01,7096.84,7102.08,7043.64,122000.87,-0.12,dax_index,-0.028,-0.07,0.08
2218,2011-01-24,7067.77,7080.78,7089.62,7000.41,121000.57,0.08,dax_index,-0.038,-0.38,0.54
2219,2011-01-21,7062.42,7047.7,7122.89,7023.69,173000.92,0.54,dax_index,-0.144,-0.253,-0.83
2220,2011-01-20,7024.27,7074.89,7084.24,7008.62,154000.43,-0.83,dax_index,0.04,0.033,-0.85
2221,2011-01-19,7082.76,7163.37,7165.0,7077.23,110000.0,-0.85,dax_index,0.576,0.32,0.92
2222,2011-01-18,7143.45,7100.48,7156.25,7099.12,121000.73,0.92,dax_index,0.638,0.043,0.03
2223,2011-01-17,7078.06,7072.75,7087.43,7055.83,79000.25,0.03,dax_index,0.37,0.643,0.01
2224,2011-01-14,7075.7,7055.42,7083.02,7015.35,125000.09,0.01,dax_index,0.272,1.05,0.09
2225,2011-01-13,7075.11,7075.54,7084.07,7036.09,160000.36,0.09,dax_index,0.374,0.583,1.83
2226,2011-01-12,7068.78,6958.84,7070.4,6958.5,122000.56,1.83,dax_index,-0.094,-0.187,1.23
2227,2011-01-11,6941.57,6879.39,6951.19,6860.52,115000.26,1.23,dax_index,-0.382,-0.397,-1.31
2228,2011-01-10,6857.06,6920.36,6941.39,6835.74,93000.17,-1.31,dax_index,0.098,-0.13,-0.48
2229,2011-01-07,6947.84,6991.55,7010.89,6939.88,92000.63,-0.48,dax_index,-0.038,-0.04,0.6
2230,2011-01-06,6981.39,6949.48,7047.59,6949.07,91000.24,0.6,dax_index,-0.09,0.123,-0.51
2231,2011-01-05,6939.82,6966.08,6967.24,6842.9,117000.14,-0.51,dax_index,0.016,-0.093,-0.21
2232,2011-01-04,6975.35,6979.68,7025.86,6952.02,87000.67,-0.21,dax_index,-0.188,0.09,1.09
2233,2011-01-03,6989.74,6973.39,7026.62,6969.83,61000.89,1.09,dax_index,-0.434,-0.267,-1.16
2234,2010-12-30,6914.19,6996.56,7008.12,6897.22,43000.68,-1.16,dax_index,-0.23,-0.29,0.34
2235,2010-12-29,6995.47,6989.54,7008.31,6981.79,39000.09,0.34,dax_index,-0.128,-0.45,0.02
2236,2010-12-28,6972.1,6984.85,6990.81,6957.65,32000.27,0.02,dax_index,-0.028,-0.503,-1.23
2237,2010-12-27,6970.73,7055.32,7056.34,6943.05,44000.52,-1.23,dax_index,0.098,0.19,-0.14
2238,2010-12-23,7057.69,7083.08,7083.08,7042.58,42000.13,-0.14,dax_index,0.148,0.41,-0.14
2239,2010-12-22,7067.92,7079.22,7084.1,7067.71,62000.44,-0.14,dax_index,0.144,0.257,0.85
2240,2010-12-21,7077.99,7045.25,7087.84,7042.98,66000.7,0.85,dax_index,-0.032,0.01,0.52
2241,2010-12-20,7018.6,7000.38,7068.56,6992.67,73000.9,0.52,dax_index,-0.07,-0.217,-0.6
2242,2010-12-17,6982.45,7042.83,7043.15,6980.18,188000.71,-0.6,dax_index,0.17,-0.027,0.11
2243,2010-12-16,7024.4,7012.99,7033.03,6991.69,78000.31,0.11,dax_index,0.114,0.047,-0.16
2244,2010-12-15,7016.37,7007.49,7029.74,6964.13,93000.68,-0.16,dax_index,0.072,0.3,-0.03
2245,2010-12-14,7027.4,7024.79,7032.65,7011.14,75000.98,-0.03,dax_index,0.214,0.253,0.33
2246,2010-12-13,7029.39,7027.58,7044.87,7017.6,72000.04,0.33,dax_index,0.168,0.02,0.6
2247,2010-12-10,7006.17,6987.69,7018.11,6973.32,98000.52,0.6,dax_index,0.02,0.047,-0.17
2248,2010-12-09,6964.16,7017.99,7021.31,6947.9,141000.06,-0.17,dax_index,0.318,0.137,-0.37
2249,2010-12-08,6975.87,6976.19,7013.53,6956.67,89000.05,-0.37,dax_index,0.924,0.213,0.68
2250,2010-12-07,7001.91,6987.88,7042.67,6962.1,112000.76,0.68,dax_index,0.76,0.427,0.1
2251,2010-12-06,6954.38,6970.24,6971.95,6926.57,84000.51,0.1,dax_index,0.3,1.28,-0.14
2252,2010-12-03,6947.72,6947.31,6977.91,6914.5,103000.22,-0.14,dax_index,0.238,1.28,1.32
2253,2010-12-02,6957.61,6895.77,6958.69,6840.65,130000.56,1.32,dax_index,0.138,0.107,2.66
2254,2010-12-01,6866.63,6748.36,6868.81,6736.69,121000.57,2.66,dax_index,-0.04,-0.93,-0.14
2255,2010-11-30,6688.49,6732.59,6763.52,6655.94,132000.33,-0.14,dax_index,-0.356,-0.61,-2.2
2256,2010-11-29,6697.97,6867.77,6907.61,6697.97,123000.91,-2.2,dax_index,0.022,0.713,-0.45
2257,2010-11-26,6848.98,6842.39,6871.71,6778.6,101000.95,-0.45,dax_index,0.146,0.29,0.82
2258,2010-11-25,6879.66,6834.68,6885.81,6823.19,84000.55,0.82,dax_index,0.376,-0.087,1.77
2259,2010-11-24,6823.8,6740.61,6833.7,6701.98,118000.63,1.77,dax_index,0.132,-0.62,-1.72
2260,2010-11-23,6705.0,6791.75,6827.83,6705.0,115000.85,-1.72,dax_index,0.102,0.61,-0.31
2261,2010-11-22,6822.05,6892.02,6901.93,6805.97,96000.81,-0.31,dax_index,0.328,0.897,0.17
2262,2010-11-19,6843.55,6841.37,6854.09,6794.43,107000.51,0.17,dax_index,0.328,0.217,1.97
2263,2010-11-18,6832.11,6765.7,6835.54,6754.4,99000.62,1.97,dax_index,-0.056,-0.167,0.55
2264,2010-11-17,6700.07,6658.99,6705.19,6653.57,85000.43,0.55,dax_index,-0.366,-0.293,-1.87
2265,2010-11-16,6663.24,6751.13,6772.01,6663.15,131000.98,-1.87,dax_index,0.118,0.347,0.82
2266,2010-11-15,6790.17,6705.13,6812.96,6679.69,95000.23,0.82,dax_index,-0.056,-0.26,0.17
2267,2010-11-12,6734.61,6650.92,6758.59,6617.97,117000.49,0.17,dax_index,-0.032,-0.133,0.05
2268,2010-11-11,6723.41,6747.8,6750.39,6700.47,107000.48,0.05,dax_index,0.312,-0.167,-1.0
2269,2010-11-10,6719.84,6759.59,6783.69,6684.22,132000.58,-1.0,dax_index,0.402,0.263,0.55
2270,2010-11-09,6787.81,6742.05,6810.86,6736.63,109000.75,0.55,dax_index,0.442,0.67,-0.05
2271,2010-11-08,6750.5,6746.44,6759.41,6728.35,98000.82,-0.05,dax_index,0.462,0.503,0.29
2272,2010-11-05,6754.2,6743.56,6775.17,6712.47,111000.69,0.29,dax_index,0.422,0.657,1.77
2273,2010-11-04,6734.69,6677.78,6757.29,6676.42,130000.04,1.77,dax_index,0.152,0.083,-0.55
2274,2010-11-03,6617.8,6666.07,6682.91,6604.75,82000.91,-0.55,dax_index,0.124,0.297,0.75
2275,2010-11-02,6654.31,6600.41,6668.93,6597.46,71000.57,0.75,dax_index,-0.102,0.187,0.05
2276,2010-11-01,6604.86,6637.09,6670.9,6586.01,75000.39,0.05,dax_index,-0.01,-0.06,0.09
2277,2010-10-29,6601.37,6585.97,6630.98,6569.25,93000.68,0.09,dax_index,-0.044,-0.217,0.42
2278,2010-10-28,6595.28,6600.28,6644.61,6576.02,104000.32,0.42,dax_index,0.138,-0.187,-0.69
2279,2010-10-27,6568.0,6591.24,6629.13,6553.25,117000.91,-0.69,dax_index,0.38,0.017,-0.38
2280,2010-10-26,6613.8,6634.24,6645.7,6580.28,95000.12,-0.38,dax_index,0.376,0.587,0.51
2281,2010-10-25,6639.21,6645.45,6668.54,6625.83,75000.74,0.51,dax_index,0.348,0.59,-0.08
2282,2010-10-22,6605.84,6594.9,6623.94,6586.4,67000.47,-0.08,dax_index,0.478,0.483,1.33
2283,2010-10-21,6611.01,6514.99,6621.84,6504.66,95000.69,1.33,dax_index,0.276,0.163,0.52
2284,2010-10-20,6524.55,6470.3,6527.85,6461.48,95000.16,0.52,dax_index,0.584,0.18,-0.4
2285,2010-10-19,6490.69,6508.36,6544.79,6472.18,101000.37,-0.4,dax_index,0.648,0.42,0.37
2286,2010-10-18,6516.63,6465.83,6533.83,6462.59,91000.06,0.37,dax_index,0.63,0.983,0.57
2287,2010-10-15,6492.3,6478.0,6512.78,6438.78,137000.13,0.57,dax_index,0.566,0.767,0.32
2288,2010-10-14,6455.27,6446.32,6485.71,6445.32,110000.05,0.32,dax_index,0.52,0.753,2.06
2289,2010-10-13,6434.52,6339.76,6456.27,6335.22,148000.84,2.06,dax_index,0.284,0.15,-0.08
2290,2010-10-12,6304.57,6257.03,6316.77,6228.39,99000.63,-0.08,dax_index,0.566,0.207,0.28
2291,2010-10-11,6309.51,6308.43,6325.31,6289.36,79000.12,0.28,dax_index,0.262,0.407,0.25
2292,2010-10-08,6291.67,6269.48,6295.09,6239.43,124000.53,0.25,dax_index,0.156,0.767,0.09
2293,2010-10-07,6276.25,6278.61,6321.79,6233.14,97000.56,0.09,dax_index,0.08,0.323,0.88
2294,2010-10-06,6270.73,6248.81,6289.56,6242.52,111000.93,0.88,dax_index,-0.188,-0.063,1.33
2295,2010-10-05,6215.83,6132.12,6233.45,6115.87,106000.59,1.33,dax_index,-0.462,-0.603,-1.24
2296,2010-10-04,6134.21,6205.0,6210.25,6128.54,90000.48,-1.24,dax_index,-0.276,-0.343,-0.28
2297,2010-10-01,6211.34,6244.06,6293.09,6187.22,125000.51,-0.28,dax_index,0.148,-0.263,-0.29
2298,2010-09-30,6229.02,6214.02,6339.36,6204.69,137000.41,-0.29,dax_index,0.13,-0.27,-0.46
2299,2010-09-29,6246.92,6296.28,6326.34,6223.14,120000.08,-0.46,dax_index,0.006,0.497,-0.04
2300,2010-09-28,6276.09,6258.2,6311.92,6197.96,109000.27,-0.04,dax_index,-0.046,0.383,-0.31
2301,2010-09-27,6278.89,6307.87,6324.09,6272.17,86000.12,-0.31,dax_index,0.29,0.127,1.84
2302,2010-09-24,6298.3,6173.89,6310.28,6146.42,114000.75,1.84,dax_index,-0.206,-0.587,-0.38
2303,2010-09-23,6184.71,6252.31,6263.74,6129.44,117000.86,-0.38,dax_index,-0.17,-0.003,-1.08
2304,2010-09-22,6208.33,6286.33,6297.4,6192.43,133000.91,-1.08,dax_index,0.002,0.143,-0.3
2305,2010-09-21,6275.98,6281.07,6339.97,6275.98,130000.95,-0.3,dax_index,0.106,0.177,1.37
2306,2010-09-20,6294.58,6231.28,6301.63,6219.85,96000.81,1.37,dax_index,-0.018,-0.353,-0.64
2307,2010-09-17,6209.76,6297.93,6321.2,6185.74,232000.9,-0.64,dax_index,0.088,-0.067,-0.2
2308,2010-09-16,6249.65,6255.14,6281.1,6233.97,96000.81,-0.2,dax_index,0.314,0.25,-0.22
2309,2010-09-15,6261.87,6282.52,6288.2,6227.2,104000.88,-0.22,dax_index,0.51,0.287,0.22
2310,2010-09-14,6275.41,6261.78,6287.78,6231.38,112000.79,0.22,dax_index,0.346,0.523,0.75
2311,2010-09-13,6261.68,6258.51,6290.87,6231.52,93000.97,0.75,dax_index,0.262,0.527,-0.11
2312,2010-09-10,6214.77,6186.22,6224.65,6182.56,94000.0,-0.11,dax_index,0.45,0.363,0.93
2313,2010-09-09,6221.52,6141.84,6233.07,6133.99,102000.02,0.93,dax_index,0.264,0.163,0.76
2314,2010-09-08,6164.44,6099.33,6180.38,6062.65,108000.64,0.76,dax_index,0.648,0.187,-0.6
2315,2010-09-07,6117.89,6136.92,6138.93,6083.2,81000.98,-0.6,dax_index,0.812,0.387,0.33
2316,2010-09-06,6155.04,6156.29,6164.93,6140.98,63000.51,0.33,dax_index,0.616,1.17,0.83
