Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2014-12-16,4089.6,4122.23,4190.42,4089.19,222000.6,-1.63,nasdaq
2014-12-15,4157.41,4224.17,4236.06,4145.01,198000.27,-1.0,nasdaq
2014-12-12,4199.28,4207.61,4254.43,4199.28,186000.82,-1.11,nasdaq
2014-12-11,4246.48,4241.69,4296.81,4238.29,157000.51,0.51,nasdaq
2014-12-10,4224.87,4284.5,4297.0,4218.85,167000.92,-1.63,nasdaq
2014-12-09,4294.67,4228.2,4297.73,4216.86,150000.06,0.38,nasdaq
2014-12-08,4278.34,4301.27,4320.08,4259.01,161000.01,-0.77,nasdaq
2014-12-05,4311.57,4318.28,4324.42,4302.04,140000.59,-0.01,nasdaq
2014-12-04,4311.93,4309.48,4327.55,4293.94,140000.09,-0.02,nasdaq
2014-12-03,4312.93,4312.17,4319.02,4287.04,157000.31,0.16,nasdaq
2014-12-02,4305.96,4291.33,4312.92,4283.89,140000.52,0.42,nasdaq
2014-12-01,4287.81,4323.95,4332.55,4274.68,161000.88,-1.15,nasdaq
2014-11-28,4337.78,4330.96,4347.09,4326.2,107000.51,0.46,nasdaq
2014-11-26,4317.99,4291.87,4319.41,4289.51,125000.09,0.69,nasdaq
2014-11-25,4288.23,4290.68,4302.44,4279.9,169000.83,0.09,nasdaq
2014-11-24,4284.32,4262.09,4285.0,4258.41,148000.71,0.78,nasdaq
2014-11-21,4251.32,4284.41,4285.27,4237.38,227000.19,0.22,nasdaq
2014-11-20,4242.09,4204.54,4245.17,4202.36,146000.09,0.46,nasdaq
2014-11-19,4222.66,4233.7,4235.84,4204.16,146000.19,-0.46,nasdaq
2014-11-18,4242.19,4215.18,4248.19,4214.32,143000.69,0.67,nasdaq
2014-11-17,4213.79,4215.29,4225.48,4194.18,144000.29,-0.27,nasdaq
2014-11-14,4224.99,4214.97,4225.18,4198.59,139000.3,0.27,nasdaq
2014-11-13,4213.48,4202.77,4228.68,4194.33,151000.97,0.43,nasdaq
2014-11-12,4195.4,4174.47,4199.19,4173.02,136000.91,0.2,nasdaq
2014-11-11,4187.16,4173.61,4187.31,4165.25,125000.44,0.27,nasdaq
